uid,participant_id,video_id,start_timestamp,stop_timestamp,start_action,stop_action,inactive,inactive_frame_name,action,noun,bbox_coords,contact_points,org_contact_points
173,P03,20250512T074816Z,367.92,371.24,9199,9282,9197,P03_9197_662_188_1696_984.jpg,cut flower,strawberry,"662, 188, 1696, 984","(124, 196), (138, 188), (155, 200), (164, 215), (173, 232), (188, 249), (179, 261), (193, 267), (208, 268), (134, 204)","(910, 580), (939, 565), (972, 588), (991, 618), (1008, 652), (1038, 686), (1021, 711), (1048, 723), (1079, 724), (931, 597)"
174,P03,20250512T074816Z,373.64,376.64,9342,9417,9340,P03_9340_730_210_1692_948.jpg,cut flower,strawberry,"730, 210, 1692, 948","(45, 168), (59, 176), (69, 181), (96, 194), (114, 208), (139, 221), (150, 233), (162, 248), (153, 243), (145, 239)","(821, 547), (849, 562), (869, 573), (923, 599), (959, 626), (1008, 652), (1030, 676), (1054, 707), (1037, 697), (1021, 689)"
175,P03,20250512T074816Z,377.12,380.12,9429,9504,9429,P03_9429_768_256_1680_964.jpg,turn pot,strawberry,"768, 256, 1680, 964","(108, 209), (112, 213), (123, 225), (133, 229), (119, 224), (108, 221), (115, 229), (124, 230), (112, 236), (119, 237)","(985, 674), (992, 683), (1015, 707), (1034, 714), (1006, 704), (985, 699), (998, 714), (1016, 717), (993, 729), (1007, 731)"
176,P03,20250512T074816Z,381.2,385.08,9531,9628,9525,P03_9525_718_306_1656_958.jpg,cut flower,strawberry,"718, 306, 1656, 958","(150, 149), (141, 155), (136, 161), (136, 171), (140, 182), (150, 185), (146, 166), (148, 173), (158, 137), (154, 141)","(1019, 605), (1001, 616), (991, 628), (991, 648), (998, 671), (1018, 677), (1010, 639), (1014, 652), (1034, 580), (1027, 588)"
177,P03,20250512T074816Z,386.72,388.96,9669,9725,9667,P03_9667_756_162_1662_966.jpg,cut flower,strawberry,"756, 162, 1662, 966","(65, 175), (71, 181), (76, 189), (89, 202), (100, 211), (117, 224), (131, 234), (139, 255), (144, 253), (149, 279)","(886, 513), (899, 525), (909, 541), (934, 566), (957, 584), (990, 610), (1018, 631), (1034, 672), (1044, 669), (1055, 720)"
178,P03,20250512T074816Z,389.2,393.88,9731,9848,9726,P03_9726_686_116_1648_926.jpg,turn pot,strawberry,"686, 116, 1648, 926","(140, 255), (146, 266), (156, 275), (168, 281), (148, 287), (158, 292), (166, 298), (154, 305), (160, 307), (154, 282)","(967, 626), (978, 648), (998, 666), (1023, 678), (983, 690), (1002, 701), (1019, 713), (994, 726), (1007, 731), (994, 681)"
179,P03,20250512T074816Z,395.28,398.64,9883,9967,9881,P03_9881_656_228_1552_976.jpg,cut flower,strawberry,"656, 228, 1552, 976","(178, 239), (185, 243), (186, 245), (182, 227), (190, 238), (195, 245), (194, 254), (210, 256), (221, 256), (210, 265)","(1013, 707), (1026, 714), (1029, 719), (1020, 682), (1036, 704), (1047, 719), (1044, 737), (1076, 741), (1098, 740), (1076, 758)"
180,P03,20250512T074816Z,400.84,403.32,10022,10084,10020,P03_10020_712_234_1576_982.jpg,cut flower,strawberry,"712, 234, 1576, 982","(67, 150), (81, 156), (89, 164), (94, 174), (102, 187), (118, 199), (130, 210), (139, 234), (124, 220), (139, 245)","(847, 534), (874, 547), (890, 562), (901, 583), (916, 608), (949, 632), (973, 655), (991, 702), (960, 675), (991, 724)"
181,P03,20250512T074816Z,405.04,409.68,10127,10243,10126,P03_10126_624_184_1526_942.jpg,cut flower,strawberry,"624, 184, 1526, 942","(151, 164), (161, 169), (167, 185), (167, 199), (167, 211), (159, 215), (155, 222), (160, 242), (167, 228), (179, 261)","(926, 512), (947, 523), (959, 554), (958, 582), (958, 607), (942, 614), (934, 628), (945, 669), (959, 640), (982, 706)"
182,P03,20250512T074816Z,410.28,415.36,10258,10385,10258,P03_10258_684_268_1566_992.jpg,turn pot,strawberry,"684, 268, 1566, 992","(117, 189), (119, 201), (124, 207), (135, 214), (123, 180), (124, 193), (134, 223), (125, 221), (144, 229), (139, 221)","(919, 647), (923, 671), (932, 683), (955, 697), (930, 628), (933, 654), (953, 715), (935, 710), (973, 727), (962, 711)"
183,P03,20250512T074816Z,417.76,421.84,10445,10547,10444,P03_10444_666_230_1574_1050.jpg,cut flower,strawberry,"666, 230, 1574, 1050","(40, 141), (68, 145), (86, 145), (100, 161), (52, 151), (158, 206), (170, 212), (167, 224), (178, 234), (195, 251)","(747, 512), (802, 520), (839, 521), (867, 553), (770, 532), (982, 643), (1007, 655), (1000, 679), (1022, 699), (1056, 732)"
184,P03,20250328T121848Z,0,11.04,1,277,1,P03_1_262_84_1690_820.jpg,cut flower,strawberry,"262, 84, 1690, 820","(400, 352), (438, 355), (452, 350), (205, 350), (233, 328), (265, 312), (297, 297), (369, 314), (345, 311), (339, 278)","(1062, 788), (1139, 794), (1167, 784), (672, 785), (729, 740), (793, 708), (857, 679), (1001, 713), (952, 706), (940, 641)"
185,P03,20250328T121848Z,15.68,25.84,393,647,388,P03_388_432_76_1654_1068.jpg,cut flower,strawberry,"432, 76, 1654, 1068","(234, 435), (243, 402), (222, 364), (196, 304), (239, 292), (302, 294), (281, 339), (183, 241), (210, 253), (198, 274)","(900, 946), (919, 880), (876, 805), (824, 684), (911, 660), (1037, 665), (995, 755), (799, 559), (852, 583), (829, 625)"
186,P03,20250328T121848Z,26,40,651,1001,647,P03_647_440_78_1646_994.jpg,cut flower,strawberry,"440, 78, 1646, 994","(138, 421), (158, 404), (173, 398), (188, 378), (225, 327), (252, 309), (365, 305), (325, 297), (302, 290), (341, 304)","(717, 921), (757, 887), (786, 875), (816, 834), (890, 732), (945, 697), (1171, 688), (1091, 673), (1045, 658), (1122, 686)"
187,P05,20250520T070114Z,7.32,17.92,184,449,178,P05_178_60_12_1898_1050.jpg,cut stem,strawberry,"60, 12, 1898, 1050","(147, 508), (183, 518), (230, 517), (279, 512), (317, 489), (305, 498), (405, 321), (398, 331), (393, 345), (204, 517)","(354, 1028), (427, 1048), (521, 1046), (619, 1036), (695, 990), (670, 1009), (871, 654), (856, 675), (846, 702), (469, 1046)"
188,P05,20250520T070114Z,26.92,38.72,674,969,469,P05_469_104_32_1754_1008.jpg,cut stem,strawberry,"104, 32, 1754, 1008","(269, 378), (281, 375), (295, 375), (307, 373), (308, 354), (308, 345), (305, 328), (370, 248), (365, 253), (354, 260)","(643, 789), (666, 783), (695, 782), (719, 778), (721, 740), (721, 722), (715, 689), (844, 529), (834, 538), (812, 552)"
189,P05,20250520T070114Z,61.64,68.24,1542,1707,1540,P05_1540_922_44_1890_1074.jpg,turn pot,strawberry,"922, 44, 1890, 1074","(93, 314), (107, 327), (117, 331), (105, 352), (104, 383), (106, 411), (268, 342), (264, 363), (254, 385), (247, 416)","(1108, 673), (1136, 698), (1156, 707), (1133, 749), (1130, 810), (1134, 866), (1458, 728), (1451, 770), (1431, 814), (1416, 877)"
190,P05,20250520T070114Z,69.88,91,1748,2276,1745,P05_1745_358_56_1734_1052.jpg,cut stem,strawberry,"358, 56, 1734, 1052","(356, 331), (338, 334), (310, 348), (283, 355), (279, 373), (305, 378), (333, 371), (326, 342), (299, 353), (271, 361)","(1071, 718), (1034, 725), (978, 753), (925, 767), (917, 803), (968, 812), (1024, 799), (1011, 740), (957, 762), (901, 779)"
191,P05,20250520T070114Z,100.16,111.28,2505,2783,2283,P05_2283_480_22_1872_1008.jpg,turn pot,strawberry,"480, 22, 1872, 1008","(376, 293), (392, 299), (419, 308), (440, 312), (422, 327), (410, 346), (395, 324), (358, 283), (357, 303), (357, 314)","(1232, 609), (1264, 620), (1319, 639), (1361, 646), (1325, 677), (1300, 714), (1270, 670), (1197, 588), (1194, 628), (1194, 651)"
192,P05,20250520T070114Z,129.52,142.72,3239,3569,3223,P05_3223_274_2_1850_1040.jpg,cut stem,strawberry,"274, 2, 1850, 1040","(149, 506), (162, 497), (187, 494), (217, 517), (224, 511), (232, 490), (239, 471), (263, 430), (279, 402), (300, 364)","(572, 1015), (599, 997), (649, 990), (709, 1036), (722, 1024), (738, 982), (753, 945), (800, 863), (832, 807), (874, 730)"
193,P05,20250520T070114Z,162.4,171.12,4061,4279,4030,P05_4030_104_4_1702_1060.jpg,cut stem,strawberry,"104, 4, 1702, 1060","(462, 524), (443, 506), (418, 484), (402, 465), (384, 445), (363, 422), (357, 398), (357, 314), (348, 341), (350, 369)","(1029, 1052), (991, 1016), (941, 973), (909, 934), (873, 895), (831, 848), (818, 801), (819, 633), (801, 686), (804, 743)"
194,P05,20250520T070114Z,178.04,181.8,4452,4546,4450,P05_4450_272_0_1762_964.jpg,move pot,strawberry,"272, 0, 1762, 964","(394, 314), (396, 327), (398, 342), (397, 361), (398, 379), (558, 307), (550, 316), (547, 334), (541, 357), (536, 379)","(1060, 628), (1065, 655), (1069, 685), (1066, 723), (1069, 758), (1389, 615), (1372, 633), (1366, 669), (1355, 714), (1344, 758)"
195,P05,20250520T070114Z,207.52,221.2,5189,5531,5177,P05_5177_50_18_1894_1038.jpg,cut stem,strawberry,"50, 18, 1894, 1038","(101, 499), (135, 490), (165, 476), (188, 459), (167, 500), (181, 479), (212, 440), (241, 419), (263, 400), (286, 383)","(253, 1017), (320, 998), (380, 970), (426, 937), (384, 1019), (413, 977), (474, 898), (532, 856), (576, 818), (622, 784)"
196,P05,20250520T070114Z,221.56,234.08,5540,5853,5241,P05_5241_178_12_1806_1034.jpg,cut stem,strawberry,"178, 12, 1806, 1034","(66, 506), (91, 476), (106, 469), (126, 450), (83, 493), (150, 431), (179, 408), (218, 383), (251, 368), (292, 347)","(311, 1024), (361, 965), (391, 950), (430, 912), (345, 999), (478, 875), (537, 829), (615, 778), (681, 748), (763, 706)"
197,P05,20250520T070114Z,240.08,242.92,6003,6074,6002,P05_6002_236_36_1886_1044.jpg,move pot,strawberry,"236, 36, 1886, 1044","(604, 405), (610, 389), (617, 367), (627, 350), (650, 311), (650, 326), (639, 339), (618, 405), (625, 382), (629, 362)","(1444, 846), (1456, 814), (1470, 771), (1490, 736), (1537, 659), (1537, 689), (1514, 715), (1473, 846), (1487, 801), (1495, 760)"
198,P05,20250520T070114Z,269.16,280.12,6730,7004,6518,P05_6518_150_26_1722_942.jpg,cut stem,strawberry,"150, 26, 1722, 942","(309, 329), (310, 341), (311, 352), (302, 370), (327, 352), (343, 344), (356, 332), (373, 317), (393, 300), (415, 281)","(768, 684), (770, 709), (773, 731), (755, 767), (805, 731), (836, 714), (863, 690), (896, 660), (936, 626), (980, 589)"
199,P05,20250520T070114Z,308,313.64,7701,7842,7693,P05_7693_670_20_1792_1018.jpg,turn pot,strawberry,"670, 20, 1792, 1018","(251, 331), (254, 343), (255, 361), (255, 379), (255, 410), (421, 336), (413, 365), (407, 384), (401, 405), (396, 424)","(1173, 683), (1179, 707), (1180, 742), (1181, 779), (1181, 840), (1513, 692), (1496, 750), (1485, 788), (1472, 831), (1463, 868)"
200,P05,20250520T070114Z,317.2,328.84,7931,8222,7929,P05_7929_570_4_1888_1048.jpg,cut stem,strawberry,"570, 4, 1888, 1048","(126, 367), (137, 360), (147, 363), (166, 365), (186, 368), (208, 370), (232, 375), (249, 371), (267, 362), (293, 346)","(823, 738), (844, 725), (865, 730), (903, 734), (943, 740), (987, 744), (1035, 754), (1068, 746), (1104, 729), (1157, 696)"
201,P05,20250520T070114Z,338.08,350.28,8453,8758,8449,P05_8449_698_22_1906_1058.jpg,cut stem,strawberry,"698, 22, 1906, 1058","(138, 364), (132, 362), (129, 354), (141, 337), (156, 316), (127, 502), (118, 460), (113, 411), (120, 376), (124, 363)","(974, 751), (962, 747), (957, 731), (981, 697), (1010, 655), (952, 1027), (935, 942), (925, 845), (939, 775), (947, 749)"
202,P05,20250520T070114Z,351.24,363.88,8782,9098,8758,P05_8758_524_28_1882_1040.jpg,cut stem,strawberry,"524, 28, 1882, 1040","(260, 327), (255, 339), (249, 349), (255, 358), (268, 372), (223, 501), (217, 467), (213, 431), (215, 395), (236, 345)","(1044, 682), (1034, 706), (1023, 727), (1034, 745), (1060, 772), (971, 1030), (959, 963), (951, 891), (954, 818), (996, 719)"
203,P05,20250520T070114Z,365.2,380.96,9131,9525,9098,P05_9098_516_46_1880_1070.jpg,cut stem,strawberry,"516, 46, 1880, 1070","(247, 349), (235, 373), (230, 376), (51, 371), (73, 376), (97, 378), (133, 383), (183, 387), (210, 376), (236, 352)","(1010, 745), (986, 793), (977, 798), (619, 789), (663, 798), (710, 802), (783, 812), (883, 821), (937, 798), (989, 751)"
204,P05,20250520T070114Z,395.64,397.76,9892,9945,9890,P05_9890_448_50_1740_1062.jpg,move pot,strawberry,"448, 50, 1740, 1062","(489, 327), (489, 338), (477, 348), (470, 352), (477, 359), (477, 377), (473, 393), (472, 407), (467, 361), (471, 381)","(1427, 705), (1427, 726), (1402, 747), (1388, 754), (1402, 769), (1402, 805), (1395, 837), (1392, 865), (1382, 773), (1390, 812)"
205,P05,20250520T070114Z,408.52,421.04,10214,10527,10213,P05_10213_606_56_1874_1026.jpg,cut stem,strawberry,"606, 56, 1874, 1026","(38, 357), (61, 366), (94, 374), (115, 381), (146, 388), (172, 375), (189, 351), (210, 310), (65, 393), (101, 399)","(682, 770), (728, 788), (794, 805), (837, 819), (899, 832), (950, 806), (985, 758), (1026, 677), (736, 842), (808, 855)"
206,P05,20250520T070114Z,421.6,435.48,10541,10888,10535,P05_10535_600_114_1850_1024.jpg,cut stem,strawberry,"600, 114, 1850, 1024","(54, 283), (75, 295), (84, 299), (94, 314), (113, 325), (134, 315), (151, 296), (10, 392), (62, 390), (115, 353)","(708, 681), (751, 705), (769, 713), (788, 742), (826, 764), (868, 744), (903, 707), (620, 899), (725, 895), (830, 821)"
207,P05,20250520T070114Z,447.24,461.16,11182,11530,10916,P05_10916_428_44_1892_1020.jpg,cut stem,strawberry,"428, 44, 1892, 1020","(212, 328), (227, 337), (238, 342), (258, 343), (284, 323), (304, 302), (339, 284), (165, 341), (189, 346), (211, 356)","(853, 700), (882, 719), (905, 729), (944, 730), (996, 691), (1036, 649), (1106, 613), (758, 727), (807, 736), (851, 756)"
208,P05,20250520T070114Z,461.8,472.28,11546,11808,11537,P05_11537_424_16_1888_992.jpg,turn pot,strawberry,"424, 16, 1888, 992","(401, 287), (401, 312), (400, 322), (401, 334), (404, 389), (560, 307), (553, 338), (549, 348), (548, 358), (537, 384)","(1226, 590), (1227, 641), (1224, 661), (1227, 684), (1232, 794), (1544, 630), (1531, 693), (1523, 713), (1520, 733), (1499, 785)"
209,P03,20250328T120440Z,9.28,19.12,233,479,207,P03_207_350_8_1822_778.jpg,cut flower,strawberry,"350, 8, 1822, 778","(348, 347), (354, 320), (354, 296), (351, 280), (340, 221), (348, 236), (403, 313), (371, 295), (314, 325), (332, 293)","(1046, 703), (1059, 649), (1058, 601), (1053, 568), (1030, 450), (1046, 481), (1156, 635), (1092, 599), (978, 659), (1015, 594)"
210,P01,20250512T062426Z,0,4,1,101,1,P01_1_252_90_1512_956.jpg,cut leafs,strawberry,"252, 90, 1512, 956","(182, 294), (187, 324), (190, 343), (204, 279), (231, 277), (260, 281), (242, 335), (259, 338), (280, 343), (297, 368)","(616, 678), (626, 739), (633, 777), (661, 648), (715, 644), (773, 652), (737, 761), (770, 766), (813, 777), (846, 826)"
211,P01,20250512T062426Z,6.04,10.84,152,272,122,P01_122_406_156_1470_1062.jpg,cut leafs,strawberry,"406, 156, 1470, 1062","(138, 296), (150, 296), (158, 302), (169, 311), (188, 312), (205, 313), (226, 322), (213, 333), (223, 346), (236, 350)","(683, 749), (706, 748), (722, 760), (744, 778), (782, 781), (816, 783), (859, 800), (833, 822), (853, 848), (878, 857)"
212,P01,20250512T062426Z,12.72,17.28,319,433,272,P01_272_476_238_1474_1062.jpg,cut leafs,strawberry,"476, 238, 1474, 1062","(187, 292), (205, 273), (214, 254), (226, 232), (237, 221), (187, 304), (202, 315), (219, 324), (244, 212), (250, 221)","(850, 823), (886, 785), (904, 747), (928, 703), (950, 680), (851, 846), (880, 869), (914, 886), (965, 663), (977, 680)"
213,P01,20250512T062426Z,19.68,24.76,493,620,447,P01_447_468_238_1414_1068.jpg,cut leafs,strawberry,"468, 238, 1414, 1068","(115, 188), (129, 203), (134, 220), (142, 239), (156, 256), (171, 274), (174, 292), (187, 309), (196, 325), (124, 188)","(699, 614), (726, 645), (737, 679), (752, 716), (781, 751), (811, 786), (817, 822), (842, 857), (860, 888), (717, 614)"
214,P01,20250512T062426Z,26.96,32.04,675,802,628,P01_628_468_210_1462_1058.jpg,cut leafs,strawberry,"468, 210, 1462, 1058","(127, 149), (140, 167), (151, 195), (163, 221), (174, 243), (190, 269), (196, 283), (224, 292), (208, 297), (198, 307)","(723, 508), (748, 544), (771, 601), (794, 652), (817, 696), (849, 748), (861, 776), (916, 794), (885, 805), (865, 824)"
215,P01,20250512T062426Z,34.08,39.8,853,996,802,P01_802_488_190_1520_1066.jpg,cut leafs,strawberry,"488, 190, 1520, 1066","(106, 247), (125, 240), (141, 247), (162, 266), (177, 279), (183, 302), (197, 317), (230, 324), (212, 324), (208, 343)","(700, 684), (739, 671), (770, 684), (812, 722), (842, 749), (854, 795), (883, 824), (949, 838), (913, 838), (904, 876)"
216,P01,20250512T062426Z,41.56,44.28,1040,1108,996,P01_996_496_190_1586_1050.jpg,turn pot,strawberry,"496, 190, 1586, 1050","(191, 330), (195, 347), (195, 372), (195, 394), (196, 416), (372, 364), (361, 377), (356, 396), (353, 416), (350, 426)","(878, 850), (886, 884), (887, 935), (887, 979), (889, 1022), (1240, 919), (1219, 944), (1209, 983), (1203, 1022), (1196, 1043)"
217,P01,20250512T062426Z,45.52,50.04,1139,1252,1108,P01_1108_336_186_1442_1064.jpg,cut leafs,strawberry,"336, 186, 1442, 1064","(278, 318), (263, 310), (252, 297), (248, 274), (177, 277), (203, 280), (216, 272), (225, 274), (233, 285), (209, 286)","(892, 823), (862, 807), (840, 781), (833, 735), (690, 740), (743, 746), (769, 730), (787, 735), (802, 756), (754, 758)"
218,P01,20250512T062426Z,51.92,55.88,1299,1398,1258,P01_1258_454_278_1388_1066.jpg,cut leafs,strawberry,"454, 278, 1388, 1066","(171, 239), (195, 227), (216, 237), (225, 248), (144, 222), (160, 217), (175, 215), (239, 266), (246, 279), (264, 297)","(796, 756), (844, 733), (886, 753), (904, 775), (743, 723), (775, 712), (805, 709), (933, 810), (947, 836), (982, 873)"
219,P01,20250512T062426Z,58.44,63.32,1462,1584,1398,P01_1398_406_268_1514_1062.jpg,turn pot,strawberry,"406, 268, 1514, 1062","(218, 287), (221, 304), (219, 328), (220, 347), (219, 372), (392, 294), (376, 320), (374, 339), (369, 363), (363, 385)","(842, 842), (848, 876), (844, 925), (846, 963), (845, 1013), (1191, 856), (1159, 909), (1155, 947), (1144, 994), (1133, 1038)"
220,P01,20250512T062426Z,66.72,71.6,1669,1791,1667,P01_1667_268_192_1484_1072.jpg,cut leafs,strawberry,"268, 192, 1484, 1072","(188, 335), (205, 321), (208, 314), (229, 296), (256, 300), (138, 343), (165, 330), (186, 316), (193, 290), (200, 304)","(644, 863), (679, 835), (684, 821), (726, 785), (781, 793), (544, 878), (598, 852), (641, 825), (654, 772), (668, 801)"
221,P01,20250512T062426Z,73.48,77.88,1838,1948,1835,P01_1835_466_208_1564_1070.jpg,cut leafs,strawberry,"466, 208, 1564, 1070","(172, 290), (187, 267), (192, 248), (203, 257), (210, 271), (228, 281), (205, 290), (191, 305), (200, 268), (211, 280)","(810, 789), (840, 742), (850, 704), (872, 722), (886, 750), (922, 771), (876, 789), (848, 819), (867, 744), (889, 768)"
222,P01,20250512T062426Z,79.84,83.32,1997,2084,1964,P01_1964_478_232_1564_1064.jpg,cut leafs,strawberry,"478, 232, 1564, 1064","(122, 248), (148, 240), (160, 228), (163, 239), (175, 245), (191, 254), (203, 264), (246, 295), (226, 289), (211, 301)","(723, 728), (774, 712), (799, 688), (804, 711), (829, 723), (860, 741), (885, 760), (971, 822), (930, 811), (901, 834)"
223,P01,20250512T062426Z,85.56,88.88,2140,2223,2095,P01_2095_532_258_1530_1070.jpg,cut leafs,strawberry,"532, 258, 1530, 1070","(75, 293), (94, 281), (116, 263), (137, 310), (139, 280), (138, 266), (155, 275), (166, 286), (189, 289), (206, 290)","(682, 845), (720, 821), (765, 785), (807, 879), (811, 818), (809, 791), (842, 808), (865, 830), (910, 836), (944, 839)"
224,P01,20250512T062426Z,91.48,96.08,2288,2403,2262,P01_2262_424_214_1452_1060.jpg,cut leafs,strawberry,"424, 214, 1452, 1060","(296, 397), (297, 369), (298, 336), (288, 336), (282, 353), (279, 382), (319, 351), (325, 369), (319, 399), (310, 339)","(1017, 1009), (1019, 953), (1020, 887), (1001, 886), (989, 920), (982, 978), (1062, 917), (1075, 953), (1062, 1013), (1044, 892)"
225,P01,20250512T062426Z,98.12,101.56,2454,2540,2403,P01_2403_434_180_1452_1056.jpg,cut leafs,strawberry,"434, 180, 1452, 1056","(329, 333), (310, 324), (313, 342), (311, 368), (296, 327), (281, 342), (295, 370), (329, 380), (313, 313), (327, 316)","(1093, 846), (1055, 828), (1060, 864), (1056, 916), (1027, 835), (996, 864), (1025, 921), (1092, 940), (1060, 806), (1089, 812)"
226,P01,20250512T062426Z,103.52,106.72,2589,2669,2540,P01_2540_420_178_1392_1056.jpg,cut leafs,strawberry,"420, 178, 1392, 1056","(153, 232), (162, 247), (167, 258), (175, 264), (183, 271), (200, 286), (198, 304), (209, 304), (210, 319), (220, 318)","(727, 643), (744, 672), (755, 695), (771, 706), (787, 721), (820, 750), (816, 786), (838, 787), (841, 816), (860, 815)"
227,P01,20250512T062426Z,108.96,113.04,2725,2827,2669,P01_2669_440_156_1492_1058.jpg,cut leafs,strawberry,"440, 156, 1492, 1058","(213, 328), (218, 313), (222, 301), (225, 296), (202, 317), (216, 314), (220, 329), (239, 331), (245, 326), (227, 321)","(866, 812), (877, 782), (884, 759), (891, 748), (845, 790), (872, 784), (880, 815), (918, 819), (930, 809), (895, 799)"
228,P01,20250512T062426Z,135.32,139.32,3384,3484,3336,P01_3336_322_180_1690_1074.jpg,cut leafs,strawberry,"322, 180, 1690, 1074","(255, 328), (239, 304), (244, 281), (332, 364), (320, 345), (302, 326), (270, 259), (260, 272), (260, 286), (268, 307)","(833, 837), (800, 789), (810, 742), (986, 908), (963, 870), (927, 833), (862, 699), (842, 724), (843, 752), (859, 795)"
229,P01,20250512T062426Z,141.32,145.44,3534,3637,3502,P01_3502_316_160_1792_1064.jpg,cut leafs,strawberry,"316, 160, 1792, 1064","(92, 400), (130, 389), (148, 370), (160, 353), (184, 349), (217, 333), (242, 312), (278, 277), (307, 298), (335, 324)","(500, 961), (577, 938), (612, 901), (637, 866), (685, 859), (751, 826), (801, 784), (872, 715), (931, 757), (987, 809)"
230,P01,20250512T062426Z,147.52,151.72,3689,3794,3637,P01_3637_424_198_1826_1062.jpg,cut leafs,strawberry,"424, 198, 1826, 1062","(185, 290), (214, 284), (220, 268), (205, 246), (187, 250), (200, 260), (194, 274), (232, 264), (251, 277), (263, 289)","(794, 778), (853, 766), (865, 734), (835, 690), (799, 698), (824, 719), (812, 746), (888, 727), (926, 753), (951, 777)"
231,P01,20250512T062426Z,153.76,158.64,3845,3967,3794,P01_3794_396_264_1826_1058.jpg,cut leafs,strawberry,"396, 264, 1826, 1058","(303, 254), (283, 254), (250, 255), (233, 247), (212, 227), (198, 211), (193, 197), (196, 174), (216, 156), (209, 164)","(1003, 772), (962, 772), (897, 775), (862, 758), (820, 719), (792, 687), (783, 659), (789, 612), (829, 577), (814, 593)"
232,P01,20250512T062426Z,160.72,163.64,4019,4092,4017,P01_4017_408_274_1806_1064.jpg,cut leafs,strawberry,"408, 274, 1806, 1064","(163, 207), (182, 213), (193, 223), (204, 236), (211, 209), (212, 226), (212, 242), (192, 209), (203, 220), (221, 253)","(734, 688), (773, 701), (795, 721), (817, 746), (830, 692), (833, 727), (833, 758), (792, 693), (814, 714), (850, 780)"
233,P01,20250512T062426Z,165.6,169.52,4141,4239,4103,P01_4103_314_170_1806_1042.jpg,cut leafs,strawberry,"314, 170, 1806, 1042","(235, 244), (224, 231), (223, 197), (223, 220), (246, 201), (240, 212), (258, 261), (277, 283), (296, 304), (304, 320)","(784, 659), (763, 633), (760, 564), (761, 610), (806, 572), (794, 594), (831, 693), (868, 736), (907, 778), (923, 811)"
234,P01,20250512T062426Z,171.28,173.28,4283,4333,4281,P01_4281_374_244_1776_1056.jpg,cut leafs,strawberry,"374, 244, 1776, 1056","(288, 237), (294, 252), (307, 271), (314, 282), (324, 302), (326, 317), (341, 321), (346, 337), (327, 342), (334, 330)","(950, 719), (962, 749), (988, 786), (1003, 809), (1023, 848), (1026, 878), (1056, 887), (1066, 919), (1029, 929), (1042, 905)"
235,P01,20250512T062426Z,174.56,178.76,4365,4470,4345,P01_4345_246_180_1686_1058.jpg,cut leafs,strawberry,"246, 180, 1686, 1058","(375, 291), (372, 308), (372, 321), (381, 345), (369, 370), (387, 366), (392, 360), (399, 354), (367, 279), (366, 297)","(997, 762), (991, 797), (991, 822), (1008, 871), (985, 921), (1020, 913), (1032, 901), (1044, 888), (981, 739), (979, 775)"
236,P01,20250512T062426Z,180.44,183.64,4512,4592,4477,P01_4477_206_230_1688_1056.jpg,cut leafs,strawberry,"206, 230, 1688, 1056","(509, 331), (491, 328), (469, 334), (446, 339), (433, 320), (424, 332), (406, 338), (393, 331), (385, 322), (399, 350)","(1224, 893), (1189, 886), (1144, 899), (1098, 909), (1073, 870), (1055, 895), (1019, 906), (993, 893), (976, 875), (1005, 930)"
237,P01,20250512T062426Z,185,187.28,4626,4683,4592,P01_4592_260_210_1702_1052.jpg,cut leafs,strawberry,"260, 210, 1702, 1052","(368, 354), (352, 350), (337, 342), (334, 326), (331, 306), (322, 288), (304, 279), (315, 261), (321, 277), (285, 265)","(997, 919), (965, 911), (934, 894), (928, 863), (923, 822), (904, 786), (868, 768), (890, 733), (902, 765), (830, 741)"
238,P01,20250512T062426Z,188.32,191.64,4709,4792,4683,P01_4683_222_186_1802_1062.jpg,cut leafs,strawberry,"222, 186, 1802, 1062","(372, 240), (371, 258), (376, 290), (381, 322), (391, 353), (399, 348), (416, 347), (425, 360), (408, 368), (383, 330)","(967, 666), (965, 703), (975, 766), (985, 831), (1005, 893), (1021, 883), (1054, 881), (1072, 906), (1039, 922), (988, 847)"
239,P01,20250512T062426Z,193.24,196.44,4832,4912,4806,P01_4806_268_226_1718_1060.jpg,cut leafs,strawberry,"268, 226, 1718, 1060","(334, 224), (331, 233), (333, 250), (344, 270), (353, 289), (356, 301), (371, 312), (363, 323), (379, 335), (372, 345)","(937, 675), (931, 692), (934, 726), (956, 766), (974, 805), (980, 829), (1011, 851), (994, 873), (1027, 897), (1012, 917)"
240,P01,20250512T062426Z,198.6,201.28,4966,5033,4926,P01_4926_234_254_1796_1062.jpg,cut leafs,strawberry,"234, 254, 1796, 1062","(313, 216), (322, 230), (322, 252), (319, 276), (398, 270), (389, 287), (388, 309), (387, 333), (312, 289), (392, 341)","(860, 686), (878, 714), (879, 759), (873, 807), (1031, 795), (1013, 828), (1011, 873), (1008, 921), (858, 833), (1019, 937)"
241,P01,20250512T062426Z,203.04,205.36,5077,5135,5053,P01_5053_232_248_1746_1062.jpg,cut leafs,strawberry,"232, 248, 1746, 1062","(395, 235), (408, 251), (440, 259), (402, 262), (395, 278), (391, 302), (391, 328), (402, 341), (395, 350), (395, 340)","(1022, 719), (1048, 751), (1112, 766), (1036, 772), (1023, 805), (1014, 852), (1014, 905), (1036, 930), (1022, 948), (1022, 929)"
